_id	parent_id	title	title_kana	subtitle	subtitle_kana	isbn	author	author_kana	publisher	size	series	series_kana	sales_date	price	url	aff_url	bdate	sd_conv	inmode	c_dtm	memo	
1	-1	イラスト図解式 この一冊で全部わかるWeb技術の基本	イラストズカイシキコノイッサツデゼンブワカルウェブギジュツノキホン			9784797388817	小林 恭平/坂本 陽	コバヤシ キョウヘイ/サカモト アキラ	SBクリエイティブ	単行本			2017年03月17日	1814	https://books.rakuten.co.jp/rb/14674807/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F14674807%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D14674807%26surl%3Dbook	2019/07/04			2019/07/04 07:27:09		
2	-1	SOFT　SKILLS	ソフト スキルズ	ソフトウェア開発者の人生マニュアル	ソフトウェア カイハツシャ ノ ジンセイ マニュアル	9784822251550	ジョン・Z．ソンメズ/長尾高弘	ソンメズ,ジョン・Z./ナガオ,タカヒロ	日経BP社	単行本			2016年05月21日	3024	https://books.rakuten.co.jp/rb/14141677/	https://hb.afl.rakuten.co.jp/hgc/g00q0725.6c66bf2a.g00q0725.6c66c514/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F14141677%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frms%2Fmsv%2FItem%3Fn%3D14141677%26surl%3Dbook	2019/07/04			2019/07/04 07:27:30		
